Program Name,Age,Location,Day,Time,"Start Date","# of Classes","Course Code",Fee
Communication Skills,6 - 8 yrs,Angus Glen Library,Sun.,1:15 p.m. - 2:15 p.m.,Jan. 17,8,273081,$52
"","",Cornell Library,Sat.,10:15 a.m. - 11:15 a.m.,Jan. 16,8,273082,$52
"","",Markham Village Library,Wed.,6:00 p.m. - 7:00 p.m.,Jan. 13,8,273083,$52
"","",Milliken Mills Library,Thu.,6:00 p.m. - 7:00 p.m.,Jan. 14,8,273098,$52
"","",Thornhill C.C. Library,Thu.,6:00 p.m. - 7:00 p.m.,Jan. 14,8,273166,$52
Computer Animation-Cartoons,6 - 12 yrs,Angus Glen Library,Sat.,2:00 p.m. - 3:00 p.m.,Jan. 16,8,273269,$135
"","",Milliken Mills Library,Wed.,4:30 p.m. - 5:30 p.m.,Jan. 13,8,275719,$135
Computers-Keyboarding - Beginner,8 - 15 yrs,Angus Glen Library,Mon.,5:30 p.m. - 6:30 p.m.,Jan. 11,6,273221,$103.50
"","",Angus Glen Library,Sat.,12:00 p.m. - 2:00 p.m.,Jan. 23,3,273222,$103.50
"","",Markham Village Library,Sat.,2:30 p.m. - 4:30 p.m.,Feb. 20,3,273223,$103.50
"","",Thornhill C.C. Library,Tue.,6:30 p.m. - 7:30 p.m.,Jan. 12,6,273225,$103.50
Computers-Microsoft Word,8 - 11 yr,Markham Village Library,Sat.,12:00 p.m. - 2:00 p.m.,Feb. 20,3,273231,$103.50
Computers-My First Computer Workshop ,5 - 7 yrs ,Thornhill C.C. Library ,Tue. ,5:30 p.m. - 6:30 p.m. ,Jan. 12 ,6 ,273232 ,$103.50
Crafty Kids ,6 - 10 yrs ,Centennial C.C. ,Mon.-Fri. ,9:30 a.m. - 11:30 a.m. ,Mar. 14 ,5 ,275364 ,$76
"",6 - 12 yrs ,Armadale C.C. ,Sat. ,2:30 p.m. - 3:30 p.m. ,Jan. 16 ,8 ,275182 ,$52
"","",Centennial C.C. ,Thu. ,5:00 p.m. - 6:30 p.m. ,Jan. 7 ,10 ,273568 ,$97
Creation Station ,6 - 10 yrs ,Centennial C.C. ,Sat. ,9:00 a.m. - 10:00 a.m. ,Jan. 9 ,10 ,273569 ,$65
