Program Name,Age,Location,Day,Time,Start Date,# of Classes,Course Code,Fee
"","",Cornell C.C. ,Sat. ,9:45 a.m. - 10:30 a.m. ,Jan. 9 ,10 ,273504 ,$76
"","",Cornell C.C. ,Sun. ,3:15 p.m. - 4:00 p.m. ,Jan. 10 ,10 ,273592 ,$76
Cookie Monsters - Play & Cook ,4 - 6 yrs ,Cornell C.C. ,Sun. ,9:30 a.m. - 11:00 a.m. ,Jan. 10 ,10 ,273602 ,$97
Cupcake Surprise ,3 - 5 yrs ,Angus Glen C.C. ,Sun. ,10:30 a.m. - 12:00 p.m. ,Jan. 10 ,4 ,274063 ,$45
"","",Angus Glen C.C. ,Sun. ,10:30 a.m. - 12:00 p.m. ,Feb. 7 ,4 ,274064 ,$45
"","",Armadale C.C. ,Sun. ,1:15 p.m. - 2:45 p.m. ,Jan. 17 ,4 ,275184 ,$45
"","",Centennial C.C. ,Sun. ,11:00 a.m. - 12:30 p.m. ,Jan. 10 ,10 ,273570 ,$134
Dance Pl3y ,3 - 5 yrs ,Thornhill C.C. ,Sun. ,1:45 p.m. - 2:45 p.m. ,Jan. 10 ,10 ,274556 ,$76
Energy Burner ,2 - 4 yrs ,Armadale C.C. ,Wed. ,5:45 p.m. - 6:45 p.m. ,Jan. 13 ,8 ,275192 ,$42.50
"","",Armadale C.C. ,Sun. ,9:15 a.m. - 10:15 a.m. ,Jan. 17 ,8 ,275191 ,$42.50
"","",Cornell C.C. ,Thu. ,1:00 p.m. - 2:30 p.m. ,Jan. 7 ,10 ,273663 ,$78.50
Fun with French ,3 - 5 yrs ,Markham Village C.C. ,Sat. ,9:00 a.m. - 10:30 a.m. ,Jan. 9 ,10 ,273508 ,$97
"","",Markham Village C.C. ,Sat. ,10:45 a.m. - 12:15 p.m. ,Jan. 9 ,10 ,273509 ,$97
"",3 - 6 yrs ,Thornhill C.C. ,Wed. ,4:30 p.m. - 5:30 p.m. ,Jan. 6 ,10 ,274569 ,$65
"","",Thornhill C.C. ,Sat. ,12:00 p.m. - 1:00 p.m. ,Jan. 9 ,10 ,274570 ,$65
Get Ready Drama ,4 - 6 yrs ,Angus Glen Library ,Sun. ,2:15 p.m. - 3:15 p.m. ,Jan. 17 ,8 ,273119 ,$52
Get Ready for French ,4 - 6 yrs ,Angus Glen Library ,Tue. ,6:00 p.m. - 7:00 p.m. ,Jan. 12 ,8 ,273084 ,$52
Get Ready for Public Speaking ,4 - 6 yrs ,Angus Glen Library ,Wed. ,6:00 p.m. - 7:00 p.m. ,Jan. 13 ,8 ,273122 ,$52
"","",Angus Glen Library ,Sun. ,3:15 p.m. - 4:15 p.m. ,Jan. 17 ,8 ,273121 ,$52
"","",Cornell Library ,Sat. ,9:15 a.m. - 10:15 a.m. ,Jan. 16 ,8 ,273123 ,$52
Get Ready for School ,3 - 5 yrs ,Markham Village Library ,Sun. ,1:15 p.m. - 2:15 p.m. ,Jan. 17 ,8 ,273133 ,$52
Gym for Life ,2 - 6 yrs ,Thornlea Pool/Gym ,Mon. ,5:00 p.m. - 6:00 p.m. ,Jan. 4 ,10 ,274576 ,$88.50
"","",Thornlea Pool/Gym ,Wed. ,10:45 a.m. - 11:30 a.m. ,Jan. 6 ,10 ,274577 ,$88.50
Hip Hop ,3 - 5 yrs ,Milliken Mills C.C. ,Wed. ,5:30 p.m. - 6:15 p.m. ,Jan. 13 ,8 ,273196 ,$61
Jazz Dance ,3 - 5 yrs ,Centennial C.C. ,Thu. ,5:15 p.m. - 6:00 p.m. ,Jan. 7 ,10 ,273603 ,$76
"","",Cornell C.C. ,Sat. ,10:45 a.m. - 11:30 a.m. ,Jan. 9 ,10 ,273518 ,$76
"","",Cornell C.C. ,Sat. ,11:30 a.m. - 12:15 p.m. ,Jan. 9 ,10 ,273519 ,$76
"","",Milliken Mills C.C. ,Thu. ,5:10 p.m. - 5:55 p.m. ,Jan. 14 ,9 ,272259 ,$69
"","",Rouge River C.C. ,Mon. ,5:00 p.m. - 5:45 p.m. ,Jan. 11 ,8 ,275213 ,$61
"","",Thornhill C.C. ,Sat. ,9:00 a.m. - 10:00 a.m. ,Jan. 9 ,10 ,274594 ,$76
"","",Thornhill C.C. ,Sun. ,12:30 p.m. - 1:30 p.m. ,Jan. 10 ,10 ,274593 ,$76
"","",Un.Train Station C.C. ,Wed. ,6:15 p.m. - 7:00 p.m. ,Jan. 6 ,10 ,274268 ,$76
