Program Name,Age,Location,Day,Time,Start Date,# of Classes,Course Code,Fee
"","",Milliken Mills C.C.,Mon.,7:15 p.m. - 8:00 p.m.,Jan. 11,8,272250,$111
"","",Milliken Mills C.C.,Sun.,1:45 p.m. - 2:30 p.m.,Jan. 17,8,272249,$111
"","",Milliken Mills C.C.,Sun.,4:00 p.m. - 4:45 p.m.,Jan. 17,8,272248,$111
Fencing,10 - 15 yrs,Rouge River C.C.,Wed.,6:00 p.m. - 7:30 p.m.,Jan. 13,6,275195,$101
Flag Football,7 - 10 yrs,Mount Joy C.C.,Tue.,4:30 p.m. - 6:00 p.m.,Jan. 5,10,273577,$78.50
ForensicFusion,6 - 12 yrs,Thornhill C.C.,Sat.,4:00 p.m. - 5:00 p.m.,Jan. 9,8,274568,$138
GameFusion Studio Beginner,9 - 16 yrs,Milliken Mills C.C.,Sun.,1:00 p.m. - 2:00 p.m.,Jan. 17,8,273178,$138
"","",Milliken Mills C.C.,Sun.,2:00 p.m. - 3:00 p.m.,Jan. 17,8,273179,$138
"",11 - 16 yrs,Thornhill C.C.,Sat.,12:00 p.m. - 1:00 p.m.,Jan. 9,8,274571,$138
GameFusion Studio Platforming 1,9 - 16 yrs,Milliken Mills C.C.,Sun.,3:00 p.m. - 4:00 p.m.,Jan. 17,8,273180,$138
GameFusion Studio Scrolling Shooter,9 - 16 yrs,Milliken Mills C.C.,Sun.,4:00 p.m. - 5:00 p.m.,Jan. 17,8,273181,$138
Girls Basketball,11 - 14 yrs,Centennial C.C.,Sat.,1:00 p.m. - 2:30 p.m.,Jan. 9,10,273578,$78.50
"","",Cornell C.C.,Tue.,6:30 p.m. - 8:00 p.m.,Jan. 5,10,273665,$78.50
Girl’s Night Out,11 - 15 yrs,Cornell C.C.,Wed.,6:30 p.m. - 8:30 p.m.,Jan. 6,8,273664,$78
Girls Night Out- Cooking,11 - 14 yrs,Centennial C.C.,Fri.,7:00 p.m. - 8:30 p.m.,Jan. 8,10,273579,$132
Girls on the Go,11 - 14 yrs,Cornell C.C.,Wed.,6:00 p.m. - 7:30 p.m.,Jan. 6,10,273668,$78.50
Girls Self Defense,11 - 18 yrs,Centennial C.C.,Thu.,6:30 p.m. - 7:30 p.m.,Jan. 7,10,273581,$76
"","",Old Unionville Lib. C.C.,Sat.,12:30 p.m. - 1:30 p.m.,Jan. 9,10,274265,$76
Glee - Musical Theatre,11 - 15 yrs,Armadale C.C.,Wed.,7:30 p.m. - 9:00 p.m.,Jan. 13,8,275201,$91
"","",Rouge River C.C.,Thu.,7:30 p.m. - 9:00 p.m.,Jan. 14,8,275200,$91
Guitar Lessons - Beginner,11 - 15 yrs,Armadale C.C.,Thu.,7:00 p.m. - 8:00 p.m.,Jan. 14,8,275204,$61
"","",Centennial C.C.,Mon.,6:30 p.m. - 7:30 p.m.,Jan. 4,10,273511,$69
"","",Centennial C.C.,Sun.,4:30 p.m. - 5:30 p.m.,Jan. 10,10,273512,$76
"","",Thornhill C.C.,Tue.,6:30 p.m. - 7:30 p.m.,Jan. 12,10,274575,$76
Guitar Lessons -  Intermediate,11 - 15 yrs,Angus Glen C.C.,Wed.,7:00 p.m. - 8:00 p.m.,Jan. 6,10,274034,$76
